Table 1: Contract Year (CY) 2026 Intensive Outpatient Services Program Copayment Limits by Maximum Out-of-Pocket (MOOP) Type,,,,
Row Reference,Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP
A,CY 2026 projected total average Medicare FFS allowed amount per day1,$363.00 ,,
B,CY 2026 coinsurance limit per § 422.100(f)(6)(iii)(F),50%,40%,30%
C,Unrounded actuarially equivalent copayment value to CY 2026 coinsurance limit per § 422.100(f)(6)(iii)(F) (row A multiplied by row B)  ,$181.50 ,$145.20 ,$108.90 
D,Final CY 2026 copayment limit per § 422.100(f)(6)(iii) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))2,$180.00 ,$145.00 ,$110.00 
"1 This amount is based on 2023 Medicare FFS data and the Office of the Actuary's (OACT's) cost and utilization projections of intensive outpatient services program (has only 9 hours of care required each week) between 2023 to 2026. This amount represents the CY 2026 projected total average Medicare FFS allowed amount per day of intensive outpatient services program (including physician fees and facility fees/APC codes 5863 and 5853), weighted by the type of setting (such as, hospital outpatient departments and community mental health centers).  The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)).",,,,
2 The final CY 2026 copayment limits for intensive outpatient services program are separate from the copayment limits that apply to partial hospitalization. Partial hospitalization requires 20 or more hours of care each week. ,,,,
