"Medicare Advantage Monthly Capitation Rates for 2026 Local EGWP Plans
Bid to Benchmark Ratios ",,,,,,,
Quartile,Ratio,,,,,,
0.9500,78.8%,,,,,,
1.0000,77.7%,,,,,,
1.0750,77.2%,,,,,,
1.1500,77.6%,,,,,,
Code,State,County,Part A/B Rate – 4.5 and  5 stars,Part A/B Rate – 4 stars,Part A/B Rate – 3.5 stars,Part A/B Rate –  <3.5 stars,Part A/B Rate – low enrollment / new contract under new parent org
02016,AK,ALEUTIANS WEST,1268.40,1254.02,1191.32,1150.35,1235.21
02020,AK,ANCHORAGE,1145.36,1131.69,1077.79,1038.74,1115.52
02050,AK,BETHEL,1251.85,1237.66,1175.77,1135.33,1219.10
02060,AK,BRISTOL BAY,1229.99,1216.05,1155.25,1115.51,1197.81
02063,AK,CHUGACH,1181.21,1167.82,1109.43,1071.27,1150.31
02066,AK,COPPER RIVER,1181.21,1167.82,1109.43,1071.27,1150.31
02068,AK,DENALI,1217.69,1203.89,1143.69,1104.35,1185.83
02070,AK,DILLINGHAM,1825.42,1804.73,1714.49,1655.52,1777.66
02090,AK,FAIRBANKS NORTH STAR,1140.40,1126.45,1074.66,1034.72,1110.91
02100,AK,HAINES,1483.62,1466.80,1393.46,1345.53,1444.80
02105,AK,HOONAH-ANGOON,1382.97,1367.29,1298.93,1254.25,1346.78
02110,AK,JUNEAU,1316.67,1301.74,1236.66,1194.12,1282.22
02122,AK,KENAI PENINSULA,1395.22,1379.41,1310.43,1265.36,1358.72
02130,AK,KETCHIKAN GATEWAY,1411.72,1395.72,1325.93,1280.32,1374.78
02150,AK,KODIAK ISLAND,1515.74,1498.56,1423.63,1374.66,1476.08
02164,AK,LAKE AND PENINSULA,1825.42,1804.73,1714.49,1655.52,1777.66
02170,AK,MATANUSKA-SUSITNA,1197.89,1184.31,1125.09,1086.39,1166.54
02180,AK,NOME,1924.66,1902.84,1807.69,1745.51,1874.30
02185,AK,NORTH SLOPE,2500.43,2472.09,2348.49,2267.71,2435.01
02188,AK,NORTHWEST ARCTIC,1700.88,1681.59,1597.51,1542.56,1656.37
02195,AK,PETERSBURG,1719.27,1699.78,1614.80,1559.25,1674.29
02198,AK,PRINCE OF WALES-HYDER,1318.28,1303.33,1238.16,1195.58,1283.78
02220,AK,SITKA,1804.04,1783.59,1694.41,1636.12,1756.84
02230,AK,SKAGWAY,1382.97,1367.29,1298.93,1254.25,1346.78
02240,AK,SOUTHEAST FAIRBANKS,1211.38,1197.65,1137.76,1098.63,1179.68
02270,AK,WADE HAMPTON (KUSILVAK),1315.35,1300.44,1235.42,1192.92,1280.93
02275,AK,WRANGELL,1719.27,1699.78,1614.80,1559.25,1674.29
02282,AK,YAKUTAT,1382.97,1367.29,1298.93,1254.25,1346.78
02290,AK,YUKON-KOYUKUK,1217.69,1203.89,1143.69,1104.35,1185.83
03000,AZ,APACHE,1263.42,1249.10,1186.64,1145.82,1230.36
03010,AZ,COCHISE,1152.65,1138.55,1126.65,1084.77,1138.55
03020,AZ,COCONINO,1216.02,1202.24,1142.12,1102.84,1184.21
03030,AZ,GILA,1263.66,1248.20,1192.72,1148.39,1231.55
03040,AZ,GRAHAM,1163.78,1149.83,1120.94,1080.15,1149.83
03050,AZ,GREENLEE,1087.39,1074.41,1023.25,986.17,1059.06
03055,AZ,LA PAZ,1238.19,1224.16,1164.45,1124.40,1206.25
03060,AZ,MARICOPA,1236.94,1222.18,1163.98,1121.81,1204.71
03070,AZ,MOHAVE,1227.58,1212.56,1158.67,1115.61,1196.39
03080,AZ,NAVAJO,1235.89,1221.88,1183.71,1142.99,1221.88
03090,AZ,PIMA,1278.41,1263.08,1197.52,1153.95,1263.08
03100,AZ,PINAL,1238.33,1223.55,1165.29,1123.07,1206.07
03110,AZ,SANTA CRUZ,1066.28,1053.50,1009.61,972.87,1040.34
