Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
02050,ALASKA,BETHEL,"1,336.99","1,316.94","1,270.14","9,751.28"
02060,ALASKA,BRISTOL BAY,"1,313.65","1,293.95","1,247.97","9,751.28"
02063,ALASKA,CHUGACH,"1,261.55","1,242.63","1,198.47","9,751.28"
02066,ALASKA,COPPER RIVER,"1,261.55","1,242.63","1,198.47","9,751.28"
02068,ALASKA,DENALI,"1,300.51","1,281.00","1,235.48","9,751.28"
02070,ALASKA,DILLINGHAM,"1,949.58","1,920.34","1,852.10","9,751.28"
02090,ALASKA,FAIRBANKS NORTH STAR,"1,224.14","1,207.26","1,167.86","9,751.28"
02100,ALASKA,HAINES,"1,584.53","1,560.76","1,505.30","9,751.28"
02105,ALASKA,HOONAH-ANGOON,"1,477.03","1,454.87","1,403.18","9,751.28"
02110,ALASKA,JUNEAU,"1,406.22","1,385.13","1,335.91","9,751.28"
02122,ALASKA,KENAI PENINSULA,"1,490.12","1,467.77","1,415.61","9,751.28"
02130,ALASKA,KETCHIKAN GATEWAY,"1,507.74","1,485.12","1,432.35","9,751.28"
02150,ALASKA,KODIAK ISLAND,"1,618.83","1,594.55","1,537.89","9,751.28"
02164,ALASKA,LAKE AND PENINSULA,"1,949.58","1,920.34","1,852.10","9,751.28"
02170,ALASKA,MATANUSKA-SUSITNA,"1,279.36","1,260.17","1,215.39","9,751.28"
02180,ALASKA,NOME,"2,055.56","2,024.73","1,952.78","9,751.28"
02185,ALASKA,NORTH SLOPE,"2,670.50","2,630.44","2,536.98","9,751.28"
02188,ALASKA,NORTHWEST ARCTIC,"1,816.56","1,789.31","1,725.73","9,751.28"
02195,ALASKA,PETERSBURG,"1,836.21","1,808.67","1,744.40","9,751.28"
02198,ALASKA,PRINCE OF WALES-HYDER,"1,407.94","1,386.82","1,337.54","9,751.28"
