Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
15210,INDIANA,FLOYD,"1,333.68","1,315.89","1,274.40","9,775.61"
15220,INDIANA,FOUNTAIN,"1,261.95","1,261.95","1,261.95","9,775.61"
15230,INDIANA,FRANKLIN,"1,276.47","1,259.45","1,219.74","9,775.61"
15240,INDIANA,FULTON,"1,253.46","1,253.46","1,253.46","9,775.61"
15250,INDIANA,GIBSON,"1,367.76","1,348.22","1,302.63","9,775.61"
15260,INDIANA,GRANT,"1,252.26","1,252.26","1,252.26","9,775.61"
15270,INDIANA,GREENE,"1,254.08","1,236.79","1,196.42","9,775.61"
15280,INDIANA,HAMILTON,"1,334.61","1,316.82","1,275.29","9,775.61"
15290,INDIANA,HANCOCK,"1,360.67","1,343.66","1,303.97","9,775.61"
15300,INDIANA,HARRISON,"1,353.05","1,333.72","1,288.62","9,775.61"
15310,INDIANA,HENDRICKS,"1,275.62","1,258.61","1,218.92","9,775.61"
15320,INDIANA,HENRY,"1,285.97","1,285.97","1,285.97","9,775.61"
15330,INDIANA,HOWARD,"1,303.38","1,303.38","1,291.52","9,775.61"
15340,INDIANA,HUNTINGTON,"1,389.11","1,371.79","1,293.08","9,775.61"
15350,INDIANA,JACKSON,"1,198.42","1,183.44","1,148.48","9,775.61"
15360,INDIANA,JASPER,"1,281.80","1,263.05","1,219.28","9,775.61"
15370,INDIANA,JAY,"1,236.17","1,236.17","1,236.17","9,775.61"
15380,INDIANA,JEFFERSON,"1,252.54","1,252.54","1,252.13","9,775.61"
15390,INDIANA,JENNINGS,"1,252.70","1,252.70","1,245.86","9,775.61"
15400,INDIANA,JOHNSON,"1,338.67","1,321.94","1,282.89","9,775.61"
15410,INDIANA,KNOX,"1,315.06","1,315.06","1,285.74","9,775.61"
15420,INDIANA,KOSCIUSKO,"1,256.77","1,256.77","1,241.31","9,775.61"
15430,INDIANA,LAGRANGE,"1,248.76","1,233.15","1,196.72","9,775.61"
15440,INDIANA,LAKE,"1,306.85","1,287.25","1,241.51","9,775.61"
15450,INDIANA,LA PORTE,"1,234.76","1,234.76","1,234.76","9,775.61"
15460,INDIANA,LAWRENCE,"1,223.02","1,223.02","1,223.02","9,775.61"
15470,INDIANA,MADISON,"1,343.39","1,325.47","1,283.68","9,775.61"
15480,INDIANA,MARION,"1,330.74","1,313.00","1,271.60","9,775.61"
15490,INDIANA,MARSHALL,"1,251.20","1,251.20","1,251.20","9,775.61"
15500,INDIANA,MARTIN,"1,256.93","1,256.93","1,256.93","9,775.61"
15510,INDIANA,MIAMI,"1,255.93","1,255.93","1,243.86","9,775.61"
15520,INDIANA,MONROE,"1,254.98","1,247.32","1,210.48","9,775.61"
15530,INDIANA,MONTGOMERY,"1,204.80","1,204.80","1,204.80","9,775.61"
15540,INDIANA,MORGAN,"1,316.57","1,300.11","1,261.71","9,775.61"
15550,INDIANA,NEWTON,"1,251.06","1,233.19","1,191.49","9,775.61"
15560,INDIANA,NOBLE,"1,257.25","1,257.25","1,238.37","9,775.61"
15570,INDIANA,OHIO,"1,352.93","1,333.60","1,288.50","9,775.61"
15580,INDIANA,ORANGE,"1,251.68","1,251.68","1,251.68","9,775.61"
15590,INDIANA,OWEN,"1,251.99","1,251.99","1,245.69","9,775.61"
15600,INDIANA,PARKE,"1,252.05","1,252.05","1,252.05","9,775.61"
15610,INDIANA,PERRY,"1,351.92","1,347.41","1,301.85","9,775.61"
15620,INDIANA,PIKE,"1,253.58","1,253.58","1,253.58","9,775.61"
15630,INDIANA,PORTER,"1,299.23","1,280.67","1,237.36","9,775.61"
15640,INDIANA,POSEY,"1,300.73","1,282.15","1,238.79","9,775.61"
15650,INDIANA,PULASKI,"1,315.42","1,297.88","1,256.95","9,775.61"
15660,INDIANA,PUTNAM,"1,300.95","1,283.60","1,243.13","9,775.61"
15670,INDIANA,RANDOLPH,"1,182.80","1,182.80","1,182.80","9,775.61"
15680,INDIANA,RIPLEY,"1,237.49","1,220.99","1,182.49","9,775.61"
15690,INDIANA,RUSH,"1,236.42","1,236.42","1,220.78","9,775.61"
15700,INDIANA,ST. JOSEPH,"1,291.10","1,274.44","1,235.56","9,775.61"
15710,INDIANA,SCOTT,"1,332.72","1,316.06","1,277.19","9,775.61"
15720,INDIANA,SHELBY,"1,308.89","1,290.84","1,248.71","9,775.61"
15730,INDIANA,SPENCER,"1,255.81","1,255.12","1,215.55","9,775.61"
15740,INDIANA,STARKE,"1,244.74","1,244.74","1,244.74","9,775.61"
15750,INDIANA,STEUBEN,"1,271.32","1,271.32","1,230.57","9,775.61"
15760,INDIANA,SULLIVAN,"1,213.46","1,213.46","1,213.46","9,775.61"
15770,INDIANA,SWITZERLAND,"1,225.29","1,225.29","1,225.29","9,775.61"
15780,INDIANA,TIPPECANOE,"1,252.00","1,252.00","1,252.00","9,775.61"
15790,INDIANA,TIPTON,"1,364.54","1,344.07","1,296.31","9,775.61"
15800,INDIANA,UNION,"1,244.33","1,244.33","1,244.33","9,775.61"
15810,INDIANA,VANDERBURGH,"1,340.30","1,321.81","1,278.68","9,775.61"
15820,INDIANA,VERMILLION,"1,265.13","1,265.13","1,242.72","9,775.61"
15830,INDIANA,VIGO,"1,275.51","1,275.51","1,269.65","9,775.61"
15840,INDIANA,WABASH,"1,256.66","1,256.66","1,220.26","9,775.61"
15850,INDIANA,WARREN,"1,235.96","1,235.96","1,235.96","9,775.61"
15860,INDIANA,WARRICK,"1,371.68","1,352.08","1,306.36","9,775.61"
15870,INDIANA,WASHINGTON,"1,322.14","1,305.61","1,267.05","9,775.61"
15880,INDIANA,WAYNE,"1,206.71","1,206.71","1,206.71","9,775.61"
15890,INDIANA,WELLS,"1,388.12","1,378.21","1,293.96","9,775.61"
15900,INDIANA,WHITE,"1,281.41","1,281.41","1,277.62","9,775.61"
15910,INDIANA,WHITLEY,"1,373.22","1,338.16","1,256.35","9,775.61"
16000,IOWA,ADAIR,"1,535.98","1,512.94","1,459.18","8,472.28"
16010,IOWA,ADAMS,"1,485.96","1,463.67","1,411.66","8,472.28"
16020,IOWA,ALLAMAKEE,"1,242.19","1,242.19","1,218.53","8,472.28"
16030,IOWA,APPANOOSE,"1,251.69","1,251.69","1,236.93","8,472.28"
16040,IOWA,AUDUBON,"1,346.23","1,326.04","1,278.92","8,472.28"
16050,IOWA,BENTON,"1,249.34","1,249.34","1,245.23","8,472.28"
16060,IOWA,BLACK HAWK,"1,230.64","1,215.25","1,179.36","8,472.28"
16070,IOWA,BOONE,"1,253.71","1,240.92","1,204.27","8,472.28"
16080,IOWA,BREMER,"1,288.18","1,271.01","1,230.93","8,472.28"
16090,IOWA,BUCHANAN,"1,270.50","1,270.50","1,243.58","8,472.28"
16100,IOWA,BUENA VISTA,"1,253.89","1,253.89","1,253.89","8,472.28"
16110,IOWA,BUTLER,"1,268.77","1,268.77","1,268.77","8,472.28"
16120,IOWA,CALHOUN,"1,325.82","1,305.93","1,259.53","8,472.28"
16130,IOWA,CARROLL,"1,253.24","1,253.24","1,229.65","8,472.28"
16140,IOWA,CASS,"1,275.41","1,275.41","1,254.64","8,472.28"
16150,IOWA,CEDAR,"1,188.61","1,173.75","1,139.09","8,472.28"
16160,IOWA,CERRO GORDO,"1,231.52","1,231.52","1,231.52","8,472.28"
16170,IOWA,CHEROKEE,"1,256.02","1,256.02","1,255.23","8,472.28"
16180,IOWA,CHICKASAW,"1,370.14","1,349.59","1,301.63","8,472.28"
16190,IOWA,CLARKE,"1,441.39","1,419.77","1,369.32","8,472.28"
16200,IOWA,CLAY,"1,230.67","1,215.29","1,179.39","8,472.28"
16210,IOWA,CLAYTON,"1,274.16","1,274.16","1,243.25","8,472.28"
16220,IOWA,CLINTON,"1,240.93","1,240.93","1,240.93","8,472.28"
16230,IOWA,CRAWFORD,"1,248.40","1,248.40","1,243.93","8,472.28"
16240,IOWA,DALLAS,"1,236.05","1,220.60","1,184.55","8,472.28"
16250,IOWA,DAVIS,"1,352.93","1,332.64","1,285.28","8,472.28"
16260,IOWA,DECATUR,"1,350.88","1,330.62","1,283.34","8,472.28"
16270,IOWA,DELAWARE,"1,243.55","1,243.55","1,214.64","8,472.28"
16280,IOWA,DES MOINES,"1,243.24","1,243.24","1,243.24","8,472.28"
16290,IOWA,DICKINSON,"1,252.86","1,246.21","1,209.40","8,472.28"
16300,IOWA,DUBUQUE,"1,139.53","1,125.29","1,092.05","8,472.28"
16310,IOWA,EMMET,"1,323.03","1,303.67","1,258.49","8,472.28"
16320,IOWA,FAYETTE,"1,306.13","1,306.13","1,280.58","8,472.28"
16330,IOWA,FLOYD,"1,299.40","1,296.19","1,252.36","8,472.28"
16340,IOWA,FRANKLIN,"1,328.67","1,328.67","1,284.16","8,472.28"
16350,IOWA,FREMONT,"1,474.46","1,452.34","1,400.74","8,472.28"
16360,IOWA,GREENE,"1,262.97","1,262.97","1,262.97","8,472.28"
16370,IOWA,GRUNDY,"1,223.85","1,223.85","1,223.85","8,472.28"
16380,IOWA,GUTHRIE,"1,372.80","1,353.19","1,307.43","8,472.28"
16390,IOWA,HAMILTON,"1,275.00","1,270.93","1,227.95","8,472.28"
16400,IOWA,HANCOCK,"1,317.06","1,297.30","1,251.21","8,472.28"
16410,IOWA,HARDIN,"1,222.42","1,222.42","1,222.42","8,472.28"
16420,IOWA,HARRISON,"1,275.83","1,257.61","1,215.08","8,472.28"
16430,IOWA,HENRY,"1,233.87","1,233.87","1,233.87","8,472.28"
16440,IOWA,HOWARD,"1,305.97","1,286.38","1,240.67","8,472.28"
16450,IOWA,HUMBOLDT,"1,308.76","1,289.61","1,244.92","8,472.28"
16460,IOWA,IDA,"1,506.96","1,484.36","1,431.61","8,472.28"
16470,IOWA,IOWA,"1,225.89","1,225.89","1,201.31","8,472.28"
16480,IOWA,JACKSON,"1,241.13","1,241.13","1,214.63","8,472.28"
16490,IOWA,JASPER,"1,249.84","1,249.84","1,225.27","8,472.28"
16500,IOWA,JEFFERSON,"1,236.68","1,232.93","1,194.06","8,472.28"
16510,IOWA,JOHNSON,"1,182.29","1,167.51","1,133.03","8,472.28"
16520,IOWA,JONES,"1,228.46","1,228.46","1,228.46","8,472.28"
16530,IOWA,KEOKUK,"1,271.33","1,253.17","1,210.79","8,472.28"
16540,IOWA,KOSSUTH,"1,316.77","1,297.02","1,250.93","8,472.28"
16550,IOWA,LEE,"1,239.06","1,239.06","1,216.06","8,472.28"
16560,IOWA,LINN,"1,205.12","1,190.06","1,154.91","8,472.28"
16570,IOWA,LOUISA,"1,233.22","1,233.22","1,214.24","8,472.28"
16580,IOWA,LUCAS,"1,251.12","1,251.12","1,247.78","8,472.28"
16590,IOWA,LYON,"1,320.16","1,311.69","1,267.33","8,472.28"
16600,IOWA,MADISON,"1,282.53","1,264.21","1,221.46","8,472.28"
16610,IOWA,MAHASKA,"1,250.41","1,250.41","1,240.36","8,472.28"
16620,IOWA,MARION,"1,251.98","1,251.98","1,247.89","8,472.28"
16630,IOWA,MARSHALL,"1,163.14","1,148.60","1,114.67","8,472.28"
16640,IOWA,MILLS,"1,286.63","1,268.89","1,227.48","8,472.28"
16650,IOWA,MITCHELL,"1,239.91","1,239.91","1,220.68","8,472.28"
16660,IOWA,MONONA,"1,358.76","1,339.35","1,294.06","8,472.28"
16670,IOWA,MONROE,"1,321.57","1,321.57","1,288.53","8,472.28"
16680,IOWA,MONTGOMERY,"1,404.19","1,383.13","1,333.98","8,472.28"
16690,IOWA,MUSCATINE,"1,235.03","1,226.39","1,190.17","8,472.28"
16700,IOWA,O'BRIEN,"1,234.52","1,223.12","1,181.76","8,472.28"
16710,IOWA,OSCEOLA,"1,245.59","1,227.80","1,186.28","8,472.28"
16720,IOWA,PAGE,"1,480.25","1,458.05","1,406.24","8,472.28"
16730,IOWA,PALO ALTO,"1,282.45","1,274.58","1,231.48","8,472.28"
16740,IOWA,PLYMOUTH,"1,253.95","1,253.95","1,253.92","8,472.28"
16750,IOWA,POCAHONTAS,"1,319.20","1,299.89","1,254.84","8,472.28"
16760,IOWA,POLK,"1,214.64","1,199.46","1,164.03","8,472.28"
16770,IOWA,POTTAWATTAMIE,"1,283.73","1,267.16","1,228.51","8,472.28"
16780,IOWA,POWESHIEK,"1,181.58","1,166.81","1,132.35","8,472.28"
16790,IOWA,RINGGOLD,"1,541.54","1,518.42","1,464.46","8,472.28"
16800,IOWA,SAC,"1,448.10","1,426.38","1,375.70","8,472.28"
16810,IOWA,SCOTT,"1,294.25","1,278.07","1,240.32","8,472.28"
16820,IOWA,SHELBY,"1,289.93","1,270.58","1,225.43","8,472.28"
16830,IOWA,SIOUX,"1,317.54","1,297.78","1,251.66","8,472.28"
16840,IOWA,STORY,"1,150.61","1,136.23","1,102.67","8,472.28"
16850,IOWA,TAMA,"1,247.95","1,239.63","1,203.02","8,472.28"
16860,IOWA,TAYLOR,"1,548.01","1,524.79","1,470.61","8,472.28"
16870,IOWA,UNION,"1,395.32","1,395.32","1,360.44","8,472.28"
16880,IOWA,VAN BUREN,"1,346.10","1,325.91","1,278.80","8,472.28"
16890,IOWA,WAPELLO,"1,243.03","1,243.03","1,243.03","8,472.28"
16900,IOWA,WARREN,"1,232.30","1,216.90","1,180.96","8,472.28"
16910,IOWA,WASHINGTON,"1,228.10","1,228.10","1,228.10","8,472.28"
16920,IOWA,WAYNE,"1,253.49","1,253.49","1,236.77","8,472.28"
16930,IOWA,WEBSTER,"1,248.86","1,248.86","1,222.78","8,472.28"
16940,IOWA,WINNEBAGO,"1,228.33","1,228.33","1,228.33","8,472.28"
16950,IOWA,WINNESHIEK,"1,229.53","1,211.96","1,170.98","8,472.28"
16960,IOWA,WOODBURY,"1,253.29","1,253.29","1,253.29","8,472.28"
16970,IOWA,WORTH,"1,227.99","1,227.99","1,227.99","8,472.28"
16980,IOWA,WRIGHT,"1,246.23","1,227.54","1,183.92","8,472.28"
17000,KANSAS,ALLEN,"1,367.98","1,347.46","1,299.58","8,945.21"
17010,KANSAS,ANDERSON,"1,563.34","1,539.89","1,485.17","8,945.21"
17020,KANSAS,ATCHISON,"1,290.33","1,271.90","1,228.89","8,945.21"
17030,KANSAS,BARBER,"1,823.27","1,795.92","1,732.11","8,945.21"
17040,KANSAS,BARTON,"1,436.45","1,414.90","1,364.63","8,945.21"
17050,KANSAS,BOURBON,"1,295.34","1,279.15","1,241.37","8,945.21"
17060,KANSAS,BROWN,"1,254.37","1,236.02","1,193.19","8,945.21"
17070,KANSAS,BUTLER,"1,297.72","1,281.49","1,243.64","8,945.21"
17080,KANSAS,CHASE,"1,243.22","1,243.22","1,243.22","8,945.21"
17090,KANSAS,CHAUTAUQUA,"1,384.70","1,363.93","1,315.47","8,945.21"
17100,KANSAS,CHEROKEE,"1,283.07","1,283.07","1,248.81","8,945.21"
17110,KANSAS,CHEYENNE,"1,826.71","1,799.31","1,735.37","8,945.21"
17120,KANSAS,CLARK,"1,863.81","1,835.85","1,770.62","8,945.21"
17130,KANSAS,CLAY,"1,301.92","1,282.39","1,236.82","8,945.21"
17140,KANSAS,CLOUD,"1,357.03","1,336.67","1,289.18","8,945.21"
17150,KANSAS,COFFEY,"1,288.21","1,269.81","1,226.87","8,945.21"
17160,KANSAS,COMANCHE,"1,582.71","1,558.97","1,503.57","8,945.21"
17170,KANSAS,COWLEY,"1,252.72","1,252.72","1,246.35","8,945.21"
17180,KANSAS,CRAWFORD,"1,310.36","1,304.63","1,263.49","8,945.21"
17190,KANSAS,DECATUR,"1,710.74","1,685.08","1,625.20","8,945.21"
17200,KANSAS,DICKINSON,"1,318.98","1,308.18","1,262.85","8,945.21"
17210,KANSAS,DONIPHAN,"1,277.41","1,258.71","1,215.09","8,945.21"
17220,KANSAS,DOUGLAS,"1,254.34","1,241.70","1,202.55","8,945.21"
17230,KANSAS,EDWARDS,"1,531.81","1,508.83","1,455.22","8,945.21"
17240,KANSAS,ELK,"1,330.67","1,310.71","1,264.14","8,945.21"
17250,KANSAS,ELLIS,"1,258.90","1,240.91","1,198.95","8,945.21"
17260,KANSAS,ELLSWORTH,"1,556.15","1,532.81","1,478.34","8,945.21"
17270,KANSAS,FINNEY,"1,240.47","1,222.75","1,181.40","8,945.21"
17280,KANSAS,FORD,"1,255.36","1,255.36","1,231.79","8,945.21"
17290,KANSAS,FRANKLIN,"1,344.19","1,324.99","1,280.18","8,945.21"
17300,KANSAS,GEARY,"1,255.26","1,255.26","1,234.70","8,945.21"
17310,KANSAS,GOVE,"1,596.78","1,572.83","1,516.94","8,945.21"
17320,KANSAS,GRAHAM,"1,480.72","1,458.51","1,406.68","8,945.21"
17330,KANSAS,GRANT,"1,380.25","1,359.55","1,311.24","8,945.21"
17340,KANSAS,GRAY,"1,256.97","1,256.97","1,251.50","8,945.21"
17350,KANSAS,GREELEY,"1,531.47","1,508.50","1,454.90","8,945.21"
17360,KANSAS,GREENWOOD,"1,297.91","1,278.44","1,233.01","8,945.21"
17370,KANSAS,HAMILTON,"2,040.13","2,009.53","1,938.12","8,945.21"
17380,KANSAS,HARPER,"1,498.33","1,475.86","1,423.41","8,945.21"
17390,KANSAS,HARVEY,"1,309.26","1,292.89","1,254.71","8,945.21"
17391,KANSAS,HASKELL,"1,592.12","1,568.24","1,512.51","8,945.21"
17410,KANSAS,HODGEMAN,"1,606.70","1,582.60","1,526.37","8,945.21"
17420,KANSAS,JACKSON,"1,315.60","1,296.35","1,251.42","8,945.21"
17430,KANSAS,JEFFERSON,"1,257.30","1,245.14","1,204.51","8,945.21"
17440,KANSAS,JEWELL,"1,764.71","1,738.24","1,676.47","8,945.21"
17450,KANSAS,JOHNSON,"1,300.53","1,265.06","1,182.30","8,945.21"
17451,KANSAS,KEARNY,"1,319.83","1,300.03","1,253.84","8,945.21"
17470,KANSAS,KINGMAN,"1,381.92","1,361.19","1,312.82","8,945.21"
17480,KANSAS,KIOWA,"1,478.09","1,455.92","1,404.19","8,945.21"
17490,KANSAS,LABETTE,"1,257.25","1,247.40","1,208.06","8,945.21"
17500,KANSAS,LANE,"1,763.62","1,737.17","1,675.44","8,945.21"
17510,KANSAS,LEAVENWORTH,"1,272.97","1,256.00","1,216.39","8,945.21"
17520,KANSAS,LINCOLN,"1,686.13","1,660.84","1,601.82","8,945.21"
17530,KANSAS,LINN,"1,269.52","1,251.39","1,209.07","8,945.21"
17540,KANSAS,LOGAN,"1,679.09","1,653.90","1,595.14","8,945.21"
17550,KANSAS,LYON,"1,237.00","1,237.00","1,219.35","8,945.21"
17560,KANSAS,MCPHERSON,"1,255.22","1,255.22","1,250.89","8,945.21"
17570,KANSAS,MARION,"1,294.26","1,288.25","1,244.69","8,945.21"
17580,KANSAS,MARSHALL,"1,279.55","1,260.36","1,215.57","8,945.21"
17590,KANSAS,MEADE,"1,597.18","1,573.22","1,517.32","8,945.21"
17600,KANSAS,MIAMI,"1,278.95","1,261.31","1,220.15","8,945.21"
17610,KANSAS,MITCHELL,"1,330.38","1,330.38","1,297.12","8,945.21"
17620,KANSAS,MONTGOMERY,"1,255.86","1,255.55","1,215.96","8,945.21"
17630,KANSAS,MORRIS,"1,359.48","1,339.09","1,291.51","8,945.21"
17640,KANSAS,MORTON,"1,362.35","1,341.91","1,294.23","8,945.21"
17650,KANSAS,NEMAHA,"1,404.00","1,382.94","1,333.80","8,945.21"
17660,KANSAS,NEOSHO,"1,278.73","1,260.02","1,216.35","8,945.21"
17670,KANSAS,NESS,"1,632.76","1,608.27","1,551.12","8,945.21"
17680,KANSAS,NORTON,"1,486.10","1,463.81","1,411.80","8,945.21"
17690,KANSAS,OSAGE,"1,258.67","1,258.67","1,234.31","8,945.21"
17700,KANSAS,OSBORNE,"1,517.68","1,494.91","1,441.80","8,945.21"
17710,KANSAS,OTTAWA,"1,373.95","1,353.34","1,305.25","8,945.21"
17720,KANSAS,PAWNEE,"1,554.78","1,531.46","1,477.04","8,945.21"
17730,KANSAS,PHILLIPS,"1,541.67","1,518.54","1,464.59","8,945.21"
17740,KANSAS,POTTAWATOMIE,"1,346.39","1,327.16","1,282.28","8,945.21"
17750,KANSAS,PRATT,"1,316.15","1,298.60","1,257.65","8,945.21"
17760,KANSAS,RAWLINS,"1,688.64","1,663.31","1,604.21","8,945.21"
17770,KANSAS,RENO,"1,239.72","1,239.72","1,202.33","8,945.21"
17780,KANSAS,REPUBLIC,"1,576.03","1,552.39","1,497.23","8,945.21"
17790,KANSAS,RICE,"1,348.01","1,327.79","1,280.61","8,945.21"
17800,KANSAS,RILEY,"1,257.35","1,257.35","1,229.09","8,945.21"
17810,KANSAS,ROOKS,"1,387.18","1,366.37","1,317.82","8,945.21"
17820,KANSAS,RUSH,"1,372.65","1,352.06","1,304.02","8,945.21"
17830,KANSAS,RUSSELL,"1,401.76","1,380.73","1,331.67","8,945.21"
17840,KANSAS,SALINE,"1,252.93","1,252.93","1,242.98","8,945.21"
17841,KANSAS,SCOTT,"1,699.05","1,673.56","1,614.10","8,945.21"
17860,KANSAS,SEDGWICK,"1,331.17","1,314.53","1,275.71","8,945.21"
17870,KANSAS,SEWARD,"1,284.80","1,284.80","1,248.90","8,945.21"
17880,KANSAS,SHAWNEE,"1,259.24","1,259.24","1,259.24","8,945.21"
17890,KANSAS,SHERIDAN,"1,545.02","1,521.84","1,467.77","8,945.21"
17900,KANSAS,SHERMAN,"1,680.55","1,655.34","1,596.52","8,945.21"
17910,KANSAS,SMITH,"1,690.73","1,665.37","1,606.19","8,945.21"
17920,KANSAS,STAFFORD,"1,625.65","1,601.27","1,544.37","8,945.21"
17921,KANSAS,STANTON,"1,558.70","1,535.32","1,480.77","8,945.21"
17940,KANSAS,STEVENS,"1,451.20","1,429.43","1,378.64","8,945.21"
17950,KANSAS,SUMNER,"1,336.46","1,319.76","1,280.78","8,945.21"
17960,KANSAS,THOMAS,"1,506.91","1,484.31","1,431.56","8,945.21"
17970,KANSAS,TREGO,"1,617.74","1,593.47","1,536.85","8,945.21"
17980,KANSAS,WABAUNSEE,"1,256.53","1,240.32","1,202.49","8,945.21"
17981,KANSAS,WALLACE,"1,413.19","1,391.99","1,342.53","8,945.21"
17982,KANSAS,WASHINGTON,"1,427.55","1,406.14","1,356.17","8,945.21"
17983,KANSAS,WICHITA,"1,874.12","1,846.01","1,780.41","8,945.21"
17984,KANSAS,WILSON,"1,332.01","1,324.11","1,278.23","8,945.21"
17985,KANSAS,WOODSON,"1,352.52","1,332.23","1,284.89","8,945.21"
17986,KANSAS,WYANDOTTE,"1,302.16","1,266.64","1,183.78","8,945.21"
18000,KENTUCKY,ADAIR,"1,267.21","1,249.11","1,206.87","9,239.99"
18010,KENTUCKY,ALLEN,"1,234.12","1,234.12","1,230.67","9,239.99"
18020,KENTUCKY,ANDERSON,"1,247.82","1,247.82","1,239.62","9,239.99"
18030,KENTUCKY,BALLARD,"1,255.57","1,255.57","1,223.65","9,239.99"
18040,KENTUCKY,BARREN,"1,243.46","1,243.46","1,212.13","9,239.99"
18050,KENTUCKY,BATH,"1,242.07","1,242.07","1,242.07","9,239.99"
18060,KENTUCKY,BELL,"1,230.85","1,230.85","1,230.85","9,239.99"
18070,KENTUCKY,BOONE,"1,278.92","1,260.65","1,218.02","9,239.99"
18080,KENTUCKY,BOURBON,"1,260.67","1,244.41","1,206.45","9,239.99"
18090,KENTUCKY,BOYD,"1,308.66","1,291.78","1,252.37","9,239.99"
18100,KENTUCKY,BOYLE,"1,247.24","1,247.24","1,241.45","9,239.99"
18110,KENTUCKY,BRACKEN,"1,366.29","1,348.07","1,305.57","9,239.99"
18120,KENTUCKY,BREATHITT,"1,246.92","1,246.92","1,246.92","9,239.99"
18130,KENTUCKY,BRECKINRIDGE,"1,246.57","1,229.95","1,191.16","9,239.99"
18140,KENTUCKY,BULLITT,"1,290.22","1,273.01","1,232.87","9,239.99"
18150,KENTUCKY,BUTLER,"1,288.67","1,272.56","1,234.97","9,239.99"
18160,KENTUCKY,CALDWELL,"1,296.40","1,296.40","1,259.00","9,239.99"
18170,KENTUCKY,CALLOWAY,"1,253.60","1,253.60","1,235.76","9,239.99"
18180,KENTUCKY,CAMPBELL,"1,374.47","1,362.89","1,279.57","9,239.99"
18190,KENTUCKY,CARLISLE,"1,204.56","1,188.50","1,151.02","9,239.99"
18191,KENTUCKY,CARROLL,"1,326.95","1,309.26","1,267.97","9,239.99"
18210,KENTUCKY,CARTER,"1,310.54","1,294.16","1,255.94","9,239.99"
18220,KENTUCKY,CASEY,"1,374.56","1,353.94","1,305.83","9,239.99"
18230,KENTUCKY,CHRISTIAN,"1,241.66","1,241.66","1,239.82","9,239.99"
18240,KENTUCKY,CLARK,"1,308.14","1,291.79","1,253.64","9,239.99"
18250,KENTUCKY,CLAY,"1,281.10","1,281.10","1,277.07","9,239.99"
18260,KENTUCKY,CLINTON,"1,300.33","1,281.75","1,238.41","9,239.99"
18270,KENTUCKY,CRITTENDEN,"1,324.78","1,304.91","1,258.54","9,239.99"
18271,KENTUCKY,CUMBERLAND,"1,433.97","1,412.46","1,362.27","9,239.99"
18290,KENTUCKY,DAVIESS,"1,256.09","1,242.20","1,203.03","9,239.99"
18291,KENTUCKY,EDMONSON,"1,217.97","1,201.73","1,163.84","9,239.99"
18310,KENTUCKY,ELLIOTT,"1,248.01","1,248.01","1,248.01","9,239.99"
18320,KENTUCKY,ESTILL,"1,171.65","1,171.65","1,171.65","9,239.99"
18330,KENTUCKY,FAYETTE,"1,343.84","1,327.05","1,287.85","9,239.99"
18340,KENTUCKY,FLEMING,"1,278.74","1,267.08","1,228.43","9,239.99"
18350,KENTUCKY,FLOYD,"1,283.61","1,266.50","1,226.56","9,239.99"
18360,KENTUCKY,FRANKLIN,"1,267.63","1,250.73","1,211.29","9,239.99"
18361,KENTUCKY,FULTON,"1,207.55","1,207.55","1,195.82","9,239.99"
18362,KENTUCKY,GALLATIN,"1,287.87","1,269.47","1,226.54","9,239.99"
18390,KENTUCKY,GARRARD,"1,249.66","1,249.66","1,223.73","9,239.99"
18400,KENTUCKY,GRANT,"1,252.43","1,234.54","1,192.79","9,239.99"
18410,KENTUCKY,GRAVES,"1,229.46","1,211.89","1,170.91","9,239.99"
18420,KENTUCKY,GRAYSON,"1,250.72","1,250.72","1,250.72","9,239.99"
18421,KENTUCKY,GREEN,"1,384.68","1,363.91","1,315.45","9,239.99"
18440,KENTUCKY,GREENUP,"1,293.22","1,275.98","1,235.74","9,239.99"
18450,KENTUCKY,HANCOCK,"1,255.37","1,255.37","1,221.59","9,239.99"
18460,KENTUCKY,HARDIN,"1,253.41","1,253.41","1,222.53","9,239.99"
18470,KENTUCKY,HARLAN,"1,158.00","1,158.00","1,158.00","9,239.99"
18480,KENTUCKY,HARRISON,"1,246.85","1,246.85","1,211.78","9,239.99"
18490,KENTUCKY,HART,"1,227.21","1,220.25","1,184.21","9,239.99"
18500,KENTUCKY,HENDERSON,"1,324.29","1,305.37","1,261.23","9,239.99"
18510,KENTUCKY,HENRY,"1,280.50","1,263.42","1,223.59","9,239.99"
18511,KENTUCKY,HICKMAN,"1,251.66","1,251.66","1,251.66","9,239.99"
18530,KENTUCKY,HOPKINS,"1,244.90","1,244.90","1,213.21","9,239.99"
18540,KENTUCKY,JACKSON,"1,217.80","1,202.57","1,167.05","9,239.99"
18550,KENTUCKY,JEFFERSON,"1,262.90","1,246.06","1,206.77","9,239.99"
18560,KENTUCKY,JESSAMINE,"1,310.04","1,293.66","1,255.46","9,239.99"
