Medicare Advantage Monthly Capitation Rates for 2026 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.",,,,
Code,State,County Name,Parts A&B 2026 Rate,Parts A&B ESRD 2026 Rate
11300,GEORGIA,COLQUITT,"1,411.11","10,390.53"
11310,GEORGIA,COLUMBIA,"1,396.41","10,390.53"
11311,GEORGIA,COOK,"1,260.29","10,390.53"
11320,GEORGIA,COWETA,"1,529.94","10,390.53"
11330,GEORGIA,CRAWFORD,"1,312.01","10,390.53"
11340,GEORGIA,CRISP,"1,263.49","10,390.53"
11341,GEORGIA,DADE,"1,396.41","10,390.53"
11350,GEORGIA,DAWSON,"1,460.36","10,390.53"
11360,GEORGIA,DECATUR,"1,263.49","10,390.53"
11370,GEORGIA,DEKALB,"1,396.41","10,390.53"
11380,GEORGIA,DODGE,"1,527.12","10,390.53"
11381,GEORGIA,DOOLY,"1,263.49","10,390.53"
11390,GEORGIA,DOUGHERTY,"1,263.49","10,390.53"
11400,GEORGIA,DOUGLAS,"1,514.71","10,390.53"
11410,GEORGIA,EARLY,"1,278.20","10,390.53"
11420,GEORGIA,ECHOLS,"1,263.49","10,390.53"
11421,GEORGIA,EFFINGHAM,"1,396.41","10,390.53"
11430,GEORGIA,ELBERT,"1,263.49","10,390.53"
11440,GEORGIA,EMANUEL,"1,263.49","10,390.53"
11441,GEORGIA,EVANS,"1,450.49","10,390.53"
11450,GEORGIA,FANNIN,"1,474.38","10,390.53"
11451,GEORGIA,FAYETTE,"1,396.41","10,390.53"
11460,GEORGIA,FLOYD,"1,265.35","10,390.53"
11461,GEORGIA,FORSYTH,"1,455.21","10,390.53"
11462,GEORGIA,FRANKLIN,"1,263.49","10,390.53"
11470,GEORGIA,FULTON,"1,516.46","10,390.53"
11471,GEORGIA,GILMER,"1,454.29","10,390.53"
11480,GEORGIA,GLASCOCK,"1,172.04","10,390.53"
11490,GEORGIA,GLYNN,"1,377.39","10,390.53"
11500,GEORGIA,GORDON,"1,263.49","10,390.53"
11510,GEORGIA,GRADY,"1,263.49","10,390.53"
11520,GEORGIA,GREENE,"1,386.11","10,390.53"
11530,GEORGIA,GWINNETT,"1,396.41","10,390.53"
11540,GEORGIA,HABERSHAM,"1,263.49","10,390.53"
11550,GEORGIA,HALL,"1,263.49","10,390.53"
11560,GEORGIA,HANCOCK,"1,553.07","10,390.53"
11570,GEORGIA,HARALSON,"1,396.41","10,390.53"
11580,GEORGIA,HARRIS,"1,396.41","10,390.53"
11581,GEORGIA,HART,"1,263.49","10,390.53"
11590,GEORGIA,HEARD,"1,396.41","10,390.53"
11591,GEORGIA,HENRY,"1,468.80","10,390.53"
11600,GEORGIA,HOUSTON,"1,396.41","10,390.53"
11601,GEORGIA,IRWIN,"1,252.77","10,390.53"
11610,GEORGIA,JACKSON,"1,263.49","10,390.53"
11611,GEORGIA,JASPER,"1,396.41","10,390.53"
11612,GEORGIA,JEFF DAVIS,"1,263.49","10,390.53"
11620,GEORGIA,JEFFERSON,"1,263.49","10,390.53"
11630,GEORGIA,JENKINS,"1,371.06","10,390.53"
11640,GEORGIA,JOHNSON,"1,306.91","10,390.53"
11650,GEORGIA,JONES,"1,396.41","10,390.53"
11651,GEORGIA,LAMAR,"1,396.41","10,390.53"
11652,GEORGIA,LANIER,"1,494.08","10,390.53"
11660,GEORGIA,LAURENS,"1,263.49","10,390.53"
11670,GEORGIA,LEE,"1,263.49","10,390.53"
11680,GEORGIA,LIBERTY,"1,435.70","10,390.53"
11690,GEORGIA,LINCOLN,"1,406.49","10,390.53"
11691,GEORGIA,LONG,"1,393.00","10,390.53"
11700,GEORGIA,LOWNDES,"1,263.49","10,390.53"
11701,GEORGIA,LUMPKIN,"1,366.78","10,390.53"
11702,GEORGIA,MCDUFFIE,"1,365.62","10,390.53"
11703,GEORGIA,MCINTOSH,"1,542.60","10,390.53"
11710,GEORGIA,MACON,"1,475.86","10,390.53"
11720,GEORGIA,MADISON,"1,263.49","10,390.53"
11730,GEORGIA,MARION,"1,396.41","10,390.53"
11740,GEORGIA,MERIWETHER,"1,396.41","10,390.53"
11741,GEORGIA,MILLER,"1,439.75","10,390.53"
11750,GEORGIA,MITCHELL,"1,263.49","10,390.53"
11760,GEORGIA,MONROE,"1,299.71","10,390.53"
11770,GEORGIA,MONTGOMERY,"1,353.30","10,390.53"
11771,GEORGIA,MORGAN,"1,263.49","10,390.53"
11772,GEORGIA,MURRAY,"1,263.49","10,390.53"
11780,GEORGIA,MUSCOGEE,"1,396.41","10,390.53"
11790,GEORGIA,NEWTON,"1,396.41","10,390.53"
11800,GEORGIA,OCONEE,"1,298.45","10,390.53"
11801,GEORGIA,OGLETHORPE,"1,263.49","10,390.53"
11810,GEORGIA,PAULDING,"1,396.41","10,390.53"
11811,GEORGIA,PEACH,"1,396.41","10,390.53"
11812,GEORGIA,PICKENS,"1,406.79","10,390.53"
11820,GEORGIA,PIERCE,"1,345.36","10,390.53"
11821,GEORGIA,PIKE,"1,396.41","10,390.53"
11830,GEORGIA,POLK,"1,246.93","10,390.53"
11831,GEORGIA,PULASKI,"1,263.49","10,390.53"
11832,GEORGIA,PUTNAM,"1,341.72","10,390.53"
11833,GEORGIA,QUITMAN,"1,263.49","10,390.53"
11834,GEORGIA,RABUN,"1,379.95","10,390.53"
11835,GEORGIA,RANDOLPH,"1,263.49","10,390.53"
11840,GEORGIA,RICHMOND,"1,396.41","10,390.53"
11841,GEORGIA,ROCKDALE,"1,396.41","10,390.53"
11842,GEORGIA,SCHLEY,"1,263.49","10,390.53"
11850,GEORGIA,SCREVEN,"1,263.49","10,390.53"
11851,GEORGIA,SEMINOLE,"1,320.89","10,390.53"
11860,GEORGIA,SPALDING,"1,396.41","10,390.53"
11861,GEORGIA,STEPHENS,"1,263.49","10,390.53"
11862,GEORGIA,STEWART,"1,507.29","10,390.53"
11870,GEORGIA,SUMTER,"1,263.49","10,390.53"
11880,GEORGIA,TALBOT,"1,263.49","10,390.53"
11881,GEORGIA,TALIAFERRO,"1,512.11","10,390.53"
11882,GEORGIA,TATTNALL,"1,472.92","10,390.53"
11883,GEORGIA,TAYLOR,"1,263.49","10,390.53"
11884,GEORGIA,TELFAIR,"1,508.47","10,390.53"
11885,GEORGIA,TERRELL,"1,263.49","10,390.53"
11890,GEORGIA,THOMAS,"1,263.49","10,390.53"
11900,GEORGIA,TIFT,"1,263.49","10,390.53"
11901,GEORGIA,TOOMBS,"1,263.49","10,390.53"
11902,GEORGIA,TOWNS,"1,263.49","10,390.53"
11903,GEORGIA,TREUTLEN,"1,263.49","10,390.53"
11910,GEORGIA,TROUP,"1,263.49","10,390.53"
11911,GEORGIA,TURNER,"1,346.13","10,390.53"
11912,GEORGIA,TWIGGS,"1,396.41","10,390.53"
11913,GEORGIA,UNION,"1,263.49","10,390.53"
11920,GEORGIA,UPSON,"1,263.49","10,390.53"
11921,GEORGIA,WALKER,"1,396.41","10,390.53"
11930,GEORGIA,WALTON,"1,396.41","10,390.53"
11940,GEORGIA,WARE,"1,294.78","10,390.53"
11941,GEORGIA,WARREN,"1,263.49","10,390.53"
11950,GEORGIA,WASHINGTON,"1,263.49","10,390.53"
11960,GEORGIA,WAYNE,"1,442.46","10,390.53"
11961,GEORGIA,WEBSTER,"1,441.69","10,390.53"
11962,GEORGIA,WHEELER,"1,456.37","10,390.53"
11963,GEORGIA,WHITE,"1,263.49","10,390.53"
11970,GEORGIA,WHITFIELD,"1,263.49","10,390.53"
11971,GEORGIA,WILCOX,"1,282.60","10,390.53"
11972,GEORGIA,WILKES,"1,288.93","10,390.53"
11973,GEORGIA,WILKINSON,"1,263.49","10,390.53"
11980,GEORGIA,WORTH,"1,263.49","10,390.53"
12010,HAWAII,HAWAII,"1,263.49","9,823.36"
12020,HAWAII,HONOLULU,"1,396.41","9,823.36"
12030,HAWAII,KALAWAO,"1,348.31","9,823.36"
12040,HAWAII,KAUAI,"1,263.49","9,823.36"
12050,HAWAII,MAUI,"1,348.31","9,823.36"
13000,IDAHO,ADA,"1,396.41","8,707.42"
13010,IDAHO,ADAMS,"1,238.30","8,707.42"
13020,IDAHO,BANNOCK,"1,263.49","8,707.42"
13030,IDAHO,BEAR LAKE,"1,457.90","8,707.42"
13040,IDAHO,BENEWAH,"1,370.58","8,707.42"
13050,IDAHO,BINGHAM,"1,268.80","8,707.42"
13060,IDAHO,BLAINE,"1,429.38","8,707.42"
13070,IDAHO,BOISE,"1,396.41","8,707.42"
13080,IDAHO,BONNER,"1,263.49","8,707.42"
13090,IDAHO,BONNEVILLE,"1,263.49","8,707.42"
13100,IDAHO,BOUNDARY,"1,263.49","8,707.42"
13110,IDAHO,BUTTE,"1,564.41","8,707.42"
13120,IDAHO,CAMAS,"1,316.34","8,707.42"
13130,IDAHO,CANYON,"1,396.41","8,707.42"
13140,IDAHO,CARIBOU,"1,679.21","8,707.42"
13150,IDAHO,CASSIA,"1,263.49","8,707.42"
13160,IDAHO,CLARK,"1,610.22","8,707.42"
13170,IDAHO,CLEARWATER,"1,318.84","8,707.42"
13180,IDAHO,CUSTER,"1,404.56","8,707.42"
13190,IDAHO,ELMORE,"1,263.49","8,707.42"
13200,IDAHO,FRANKLIN,"1,283.34","8,707.42"
13210,IDAHO,FREMONT,"1,263.49","8,707.42"
13220,IDAHO,GEM,"1,396.41","8,707.42"
13230,IDAHO,GOODING,"1,415.08","8,707.42"
13240,IDAHO,IDAHO,"1,370.25","8,707.42"
13250,IDAHO,JEFFERSON,"1,263.49","8,707.42"
13260,IDAHO,JEROME,"1,263.49","8,707.42"
13270,IDAHO,KOOTENAI,"1,298.88","8,707.42"
13280,IDAHO,LATAH,"1,263.49","8,707.42"
13290,IDAHO,LEMHI,"1,415.91","8,707.42"
13300,IDAHO,LEWIS,"1,380.24","8,707.42"
13310,IDAHO,LINCOLN,"1,302.58","8,707.42"
13320,IDAHO,MADISON,"1,263.49","8,707.42"
13330,IDAHO,MINIDOKA,"1,263.49","8,707.42"
13340,IDAHO,NEZ PERCE,"1,310.51","8,707.42"
13350,IDAHO,ONEIDA,"1,414.42","8,707.42"
13360,IDAHO,OWYHEE,"1,396.41","8,707.42"
13370,IDAHO,PAYETTE,"1,263.49","8,707.42"
13380,IDAHO,POWER,"1,294.20","8,707.42"
13390,IDAHO,SHOSHONE,"1,295.35","8,707.42"
13400,IDAHO,TETON,"2,004.65","8,707.42"
13410,IDAHO,TWIN FALLS,"1,263.49","8,707.42"
13420,IDAHO,VALLEY,"1,463.27","8,707.42"
13430,IDAHO,WASHINGTON,"1,243.07","8,707.42"
14000,ILLINOIS,ADAMS,"1,263.49","10,412.37"
14010,ILLINOIS,ALEXANDER,"1,263.49","10,412.37"
14020,ILLINOIS,BOND,"1,396.41","10,412.37"
14030,ILLINOIS,BOONE,"1,396.41","10,412.37"
14040,ILLINOIS,BROWN,"1,280.34","10,412.37"
14050,ILLINOIS,BUREAU,"1,263.49","10,412.37"
14060,ILLINOIS,CALHOUN,"1,412.10","10,412.37"
14070,ILLINOIS,CARROLL,"1,263.49","10,412.37"
14080,ILLINOIS,CASS,"1,263.49","10,412.37"
14090,ILLINOIS,CHAMPAIGN,"1,263.49","10,412.37"
14100,ILLINOIS,CHRISTIAN,"1,306.89","10,412.37"
14110,ILLINOIS,CLARK,"1,303.11","10,412.37"
14120,ILLINOIS,CLAY,"1,290.63","10,412.37"
14130,ILLINOIS,CLINTON,"1,396.41","10,412.37"
14140,ILLINOIS,COLES,"1,263.49","10,412.37"
14141,ILLINOIS,COOK,"1,486.63","10,412.37"
14150,ILLINOIS,CRAWFORD,"1,304.47","10,412.37"
14160,ILLINOIS,CUMBERLAND,"1,298.25","10,412.37"
14170,ILLINOIS,DEKALB,"1,396.41","10,412.37"
14180,ILLINOIS,DE WITT,"1,277.45","10,412.37"
14190,ILLINOIS,DOUGLAS,"1,246.73","10,412.37"
14250,ILLINOIS,DUPAGE,"1,396.41","10,412.37"
14310,ILLINOIS,EDGAR,"1,338.81","10,412.37"
14320,ILLINOIS,EDWARDS,"1,260.99","10,412.37"
14330,ILLINOIS,EFFINGHAM,"1,263.49","10,412.37"
14340,ILLINOIS,FAYETTE,"1,270.63","10,412.37"
14350,ILLINOIS,FORD,"1,419.54","10,412.37"
14360,ILLINOIS,FRANKLIN,"1,250.82","10,412.37"
14370,ILLINOIS,FULTON,"1,191.57","10,412.37"
14380,ILLINOIS,GALLATIN,"1,406.51","10,412.37"
14390,ILLINOIS,GREENE,"1,393.49","10,412.37"
14400,ILLINOIS,GRUNDY,"1,403.09","10,412.37"
14410,ILLINOIS,HAMILTON,"1,313.22","10,412.37"
14420,ILLINOIS,HANCOCK,"1,283.47","10,412.37"
14421,ILLINOIS,HARDIN,"1,425.47","10,412.37"
14440,ILLINOIS,HENDERSON,"1,213.42","10,412.37"
14450,ILLINOIS,HENRY,"1,396.41","10,412.37"
14460,ILLINOIS,IROQUOIS,"1,279.50","10,412.37"
14470,ILLINOIS,JACKSON,"1,251.20","10,412.37"
14480,ILLINOIS,JASPER,"1,330.28","10,412.37"
14490,ILLINOIS,JEFFERSON,"1,263.49","10,412.37"
14500,ILLINOIS,JERSEY,"1,396.41","10,412.37"
14510,ILLINOIS,JO DAVIESS,"1,337.63","10,412.37"
14520,ILLINOIS,JOHNSON,"1,263.49","10,412.37"
14530,ILLINOIS,KANE,"1,396.41","10,412.37"
14540,ILLINOIS,KANKAKEE,"1,396.41","10,412.37"
14550,ILLINOIS,KENDALL,"1,396.41","10,412.37"
14560,ILLINOIS,KNOX,"1,237.49","10,412.37"
14570,ILLINOIS,LAKE,"1,396.41","10,412.37"
14580,ILLINOIS,LA SALLE,"1,283.60","10,412.37"
14590,ILLINOIS,LAWRENCE,"1,370.95","10,412.37"
14600,ILLINOIS,LEE,"1,263.49","10,412.37"
14610,ILLINOIS,LIVINGSTON,"1,256.61","10,412.37"
14620,ILLINOIS,LOGAN,"1,220.82","10,412.37"
14630,ILLINOIS,MCDONOUGH,"1,263.49","10,412.37"
14640,ILLINOIS,MCHENRY,"1,396.41","10,412.37"
14650,ILLINOIS,MCLEAN,"1,263.49","10,412.37"
14660,ILLINOIS,MACON,"1,263.49","10,412.37"
14670,ILLINOIS,MACOUPIN,"1,396.41","10,412.37"
14680,ILLINOIS,MADISON,"1,396.41","10,412.37"
14690,ILLINOIS,MARION,"1,324.02","10,412.37"
14700,ILLINOIS,MARSHALL,"1,396.41","10,412.37"
14710,ILLINOIS,MASON,"1,310.34","10,412.37"
14720,ILLINOIS,MASSAC,"1,263.49","10,412.37"
14730,ILLINOIS,MENARD,"1,263.49","10,412.37"
14740,ILLINOIS,MERCER,"1,396.41","10,412.37"
14750,ILLINOIS,MONROE,"1,396.41","10,412.37"
14760,ILLINOIS,MONTGOMERY,"1,263.49","10,412.37"
14770,ILLINOIS,MORGAN,"1,258.72","10,412.37"
14780,ILLINOIS,MOULTRIE,"1,263.49","10,412.37"
14790,ILLINOIS,OGLE,"1,396.41","10,412.37"
14800,ILLINOIS,PEORIA,"1,396.41","10,412.37"
14810,ILLINOIS,PERRY,"1,421.71","10,412.37"
14820,ILLINOIS,PIATT,"1,358.74","10,412.37"
14830,ILLINOIS,PIKE,"1,293.30","10,412.37"
14831,ILLINOIS,POPE,"1,386.96","10,412.37"
14850,ILLINOIS,PULASKI,"1,450.33","10,412.37"
14860,ILLINOIS,PUTNAM,"1,300.31","10,412.37"
14870,ILLINOIS,RANDOLPH,"1,284.16","10,412.37"
14880,ILLINOIS,RICHLAND,"1,319.37","10,412.37"
14890,ILLINOIS,ROCK ISLAND,"1,396.41","10,412.37"
14900,ILLINOIS,ST. CLAIR,"1,396.41","10,412.37"
14910,ILLINOIS,SALINE,"1,263.49","10,412.37"
14920,ILLINOIS,SANGAMON,"1,263.49","10,412.37"
14921,ILLINOIS,SCHUYLER,"1,338.34","10,412.37"
14940,ILLINOIS,SCOTT,"1,285.53","10,412.37"
14950,ILLINOIS,SHELBY,"1,233.57","10,412.37"
14960,ILLINOIS,STARK,"1,396.41","10,412.37"
14970,ILLINOIS,STEPHENSON,"1,263.49","10,412.37"
14980,ILLINOIS,TAZEWELL,"1,396.41","10,412.37"
14981,ILLINOIS,UNION,"1,263.49","10,412.37"
14982,ILLINOIS,VERMILION,"1,247.75","10,412.37"
14983,ILLINOIS,WABASH,"1,393.87","10,412.37"
14984,ILLINOIS,WARREN,"1,263.49","10,412.37"
14985,ILLINOIS,WASHINGTON,"1,344.13","10,412.37"
14986,ILLINOIS,WAYNE,"1,288.96","10,412.37"
14987,ILLINOIS,WHITE,"1,385.75","10,412.37"
14988,ILLINOIS,WHITESIDE,"1,263.49","10,412.37"
14989,ILLINOIS,WILL,"1,419.06","10,412.37"
14990,ILLINOIS,WILLIAMSON,"1,263.49","10,412.37"
14991,ILLINOIS,WINNEBAGO,"1,396.41","10,412.37"
14992,ILLINOIS,WOODFORD,"1,396.41","10,412.37"
15000,INDIANA,ADAMS,"1,396.41","9,895.52"
15010,INDIANA,ALLEN,"1,396.41","9,895.52"
15020,INDIANA,BARTHOLOMEW,"1,165.14","9,895.52"
15030,INDIANA,BENTON,"1,226.94","9,895.52"
15040,INDIANA,BLACKFORD,"1,377.93","9,895.52"
15050,INDIANA,BOONE,"1,396.41","9,895.52"
15060,INDIANA,BROWN,"1,396.41","9,895.52"
15070,INDIANA,CARROLL,"1,334.72","9,895.52"
15080,INDIANA,CASS,"1,181.52","9,895.52"
15090,INDIANA,CLARK,"1,396.41","9,895.52"
15100,INDIANA,CLAY,"1,314.16","9,895.52"
15110,INDIANA,CLINTON,"1,207.10","9,895.52"
15120,INDIANA,CRAWFORD,"1,305.80","9,895.52"
15130,INDIANA,DAVIESS,"1,360.78","9,895.52"
15140,INDIANA,DEARBORN,"1,396.41","9,895.52"
15150,INDIANA,DECATUR,"1,269.11","9,895.52"
15160,INDIANA,DE KALB,"1,396.41","9,895.52"
15170,INDIANA,DELAWARE,"1,240.67","9,895.52"
15180,INDIANA,DUBOIS,"1,263.49","9,895.52"
15190,INDIANA,ELKHART,"1,263.49","9,895.52"
15200,INDIANA,FAYETTE,"1,263.49","9,895.52"
15210,INDIANA,FLOYD,"1,396.41","9,895.52"
15220,INDIANA,FOUNTAIN,"1,284.82","9,895.52"
15230,INDIANA,FRANKLIN,"1,396.41","9,895.52"
15240,INDIANA,FULTON,"1,263.49","9,895.52"
15250,INDIANA,GIBSON,"1,396.41","9,895.52"
15260,INDIANA,GRANT,"1,263.49","9,895.52"
15270,INDIANA,GREENE,"1,329.34","9,895.52"
15280,INDIANA,HAMILTON,"1,396.41","9,895.52"
15290,INDIANA,HANCOCK,"1,396.41","9,895.52"
15300,INDIANA,HARRISON,"1,396.41","9,895.52"
15310,INDIANA,HENDRICKS,"1,396.41","9,895.52"
15320,INDIANA,HENRY,"1,317.65","9,895.52"
15330,INDIANA,HOWARD,"1,250.74","9,895.52"
15340,INDIANA,HUNTINGTON,"1,396.41","9,895.52"
15350,INDIANA,JACKSON,"1,263.49","9,895.52"
15360,INDIANA,JASPER,"1,332.85","9,895.52"
15370,INDIANA,JAY,"1,271.82","9,895.52"
15380,INDIANA,JEFFERSON,"1,263.49","9,895.52"
15390,INDIANA,JENNINGS,"1,263.49","9,895.52"
15400,INDIANA,JOHNSON,"1,396.41","9,895.52"
15410,INDIANA,KNOX,"1,328.69","9,895.52"
15420,INDIANA,KOSCIUSKO,"1,263.49","9,895.52"
15430,INDIANA,LAGRANGE,"1,263.49","9,895.52"
15440,INDIANA,LAKE,"1,462.10","9,895.52"
15450,INDIANA,LA PORTE,"1,216.21","9,895.52"
15460,INDIANA,LAWRENCE,"1,255.63","9,895.52"
15470,INDIANA,MADISON,"1,396.41","9,895.52"
15480,INDIANA,MARION,"1,396.41","9,895.52"
15490,INDIANA,MARSHALL,"1,263.49","9,895.52"
15500,INDIANA,MARTIN,"1,294.19","9,895.52"
15510,INDIANA,MIAMI,"1,263.49","9,895.52"
15520,INDIANA,MONROE,"1,263.49","9,895.52"
15530,INDIANA,MONTGOMERY,"1,206.39","9,895.52"
15540,INDIANA,MORGAN,"1,396.41","9,895.52"
15550,INDIANA,NEWTON,"1,353.47","9,895.52"
15560,INDIANA,NOBLE,"1,263.49","9,895.52"
15570,INDIANA,OHIO,"1,396.41","9,895.52"
15580,INDIANA,ORANGE,"1,275.67","9,895.52"
15590,INDIANA,OWEN,"1,263.49","9,895.52"
15600,INDIANA,PARKE,"1,256.66","9,895.52"
15610,INDIANA,PERRY,"1,383.39","9,895.52"
15620,INDIANA,PIKE,"1,263.49","9,895.52"
15630,INDIANA,PORTER,"1,396.41","9,895.52"
15640,INDIANA,POSEY,"1,396.41","9,895.52"
15650,INDIANA,PULASKI,"1,379.19","9,895.52"
15660,INDIANA,PUTNAM,"1,396.41","9,895.52"
15670,INDIANA,RANDOLPH,"1,222.72","9,895.52"
15680,INDIANA,RIPLEY,"1,263.49","9,895.52"
15690,INDIANA,RUSH,"1,238.50","9,895.52"
15700,INDIANA,ST. JOSEPH,"1,396.41","9,895.52"
15710,INDIANA,SCOTT,"1,396.41","9,895.52"
15720,INDIANA,SHELBY,"1,396.41","9,895.52"
15730,INDIANA,SPENCER,"1,263.49","9,895.52"
15740,INDIANA,STARKE,"1,272.43","9,895.52"
15750,INDIANA,STEUBEN,"1,263.71","9,895.52"
15760,INDIANA,SULLIVAN,"1,231.86","9,895.52"
15770,INDIANA,SWITZERLAND,"1,238.53","9,895.52"
15780,INDIANA,TIPPECANOE,"1,263.49","9,895.52"
15790,INDIANA,TIPTON,"1,397.82","9,895.52"
15800,INDIANA,UNION,"1,263.49","9,895.52"
15810,INDIANA,VANDERBURGH,"1,396.41","9,895.52"
15820,INDIANA,VERMILLION,"1,277.38","9,895.52"
15830,INDIANA,VIGO,"1,289.83","9,895.52"
15840,INDIANA,WABASH,"1,263.49","9,895.52"
15850,INDIANA,WARREN,"1,241.15","9,895.52"
15860,INDIANA,WARRICK,"1,396.41","9,895.52"
15870,INDIANA,WASHINGTON,"1,396.41","9,895.52"
15880,INDIANA,WAYNE,"1,237.89","9,895.52"
15890,INDIANA,WELLS,"1,396.41","9,895.52"
15900,INDIANA,WHITE,"1,300.47","9,895.52"
15910,INDIANA,WHITLEY,"1,396.41","9,895.52"
16000,IOWA,ADAIR,"1,533.29","8,643.03"
16010,IOWA,ADAMS,"1,501.98","8,643.03"
16020,IOWA,ALLAMAKEE,"1,263.49","8,643.03"
16030,IOWA,APPANOOSE,"1,263.49","8,643.03"
16040,IOWA,AUDUBON,"1,354.49","8,643.03"
16050,IOWA,BENTON,"1,263.49","8,643.03"
16060,IOWA,BLACK HAWK,"1,289.82","8,643.03"
16070,IOWA,BOONE,"1,263.49","8,643.03"
16080,IOWA,BREMER,"1,366.38","8,643.03"
16090,IOWA,BUCHANAN,"1,303.88","8,643.03"
16100,IOWA,BUENA VISTA,"1,263.49","8,643.03"
16110,IOWA,BUTLER,"1,282.17","8,643.03"
16120,IOWA,CALHOUN,"1,350.20","8,643.03"
16130,IOWA,CARROLL,"1,263.49","8,643.03"
16140,IOWA,CASS,"1,301.80","8,643.03"
16150,IOWA,CEDAR,"1,263.49","8,643.03"
16160,IOWA,CERRO GORDO,"1,263.49","8,643.03"
16170,IOWA,CHEROKEE,"1,263.49","8,643.03"
16180,IOWA,CHICKASAW,"1,508.80","8,643.03"
16190,IOWA,CLARKE,"1,481.66","8,643.03"
16200,IOWA,CLAY,"1,263.49","8,643.03"
16210,IOWA,CLAYTON,"1,300.07","8,643.03"
16220,IOWA,CLINTON,"1,263.49","8,643.03"
16230,IOWA,CRAWFORD,"1,295.24","8,643.03"
16240,IOWA,DALLAS,"1,396.41","8,643.03"
16250,IOWA,DAVIS,"1,384.90","8,643.03"
16260,IOWA,DECATUR,"1,386.34","8,643.03"
16270,IOWA,DELAWARE,"1,263.49","8,643.03"
16280,IOWA,DES MOINES,"1,263.49","8,643.03"
16290,IOWA,DICKINSON,"1,263.49","8,643.03"
16300,IOWA,DUBUQUE,"1,317.40","8,643.03"
16310,IOWA,EMMET,"1,374.60","8,643.03"
16320,IOWA,FAYETTE,"1,327.49","8,643.03"
16330,IOWA,FLOYD,"1,357.93","8,643.03"
16340,IOWA,FRANKLIN,"1,345.28","8,643.03"
16350,IOWA,FREMONT,"1,659.77","8,643.03"
16360,IOWA,GREENE,"1,263.49","8,643.03"
16370,IOWA,GRUNDY,"1,240.73","8,643.03"
16380,IOWA,GUTHRIE,"1,396.41","8,643.03"
16390,IOWA,HAMILTON,"1,263.49","8,643.03"
16400,IOWA,HANCOCK,"1,380.83","8,643.03"
16410,IOWA,HARDIN,"1,237.77","8,643.03"
16420,IOWA,HARRISON,"1,396.41","8,643.03"
16430,IOWA,HENRY,"1,263.49","8,643.03"
16440,IOWA,HOWARD,"1,469.63","8,643.03"
16450,IOWA,HUMBOLDT,"1,324.83","8,643.03"
16460,IOWA,IDA,"1,579.42","8,643.03"
16470,IOWA,IOWA,"1,280.44","8,643.03"
16480,IOWA,JACKSON,"1,263.49","8,643.03"
16490,IOWA,JASPER,"1,263.49","8,643.03"
16500,IOWA,JEFFERSON,"1,263.49","8,643.03"
16510,IOWA,JOHNSON,"1,263.49","8,643.03"
16520,IOWA,JONES,"1,209.32","8,643.03"
16530,IOWA,KEOKUK,"1,364.07","8,643.03"
16540,IOWA,KOSSUTH,"1,383.33","8,643.03"
16550,IOWA,LEE,"1,263.49","8,643.03"
16560,IOWA,LINN,"1,263.49","8,643.03"
16570,IOWA,LOUISA,"1,263.49","8,643.03"
16580,IOWA,LUCAS,"1,263.49","8,643.03"
16590,IOWA,LYON,"1,341.55","8,643.03"
16600,IOWA,MADISON,"1,396.41","8,643.03"
16610,IOWA,MAHASKA,"1,263.49","8,643.03"
16620,IOWA,MARION,"1,263.49","8,643.03"
16630,IOWA,MARSHALL,"1,263.49","8,643.03"
16640,IOWA,MILLS,"1,396.41","8,643.03"
16650,IOWA,MITCHELL,"1,301.31","8,643.03"
16660,IOWA,MONONA,"1,475.20","8,643.03"
16670,IOWA,MONROE,"1,335.88","8,643.03"
16680,IOWA,MONTGOMERY,"1,465.21","8,643.03"
16690,IOWA,MUSCATINE,"1,263.49","8,643.03"
16700,IOWA,O'BRIEN,"1,257.86","8,643.03"
16710,IOWA,OSCEOLA,"1,283.63","8,643.03"
16720,IOWA,PAGE,"1,528.65","8,643.03"
16730,IOWA,PALO ALTO,"1,341.94","8,643.03"
16740,IOWA,PLYMOUTH,"1,263.49","8,643.03"
16750,IOWA,POCAHONTAS,"1,334.89","8,643.03"
16760,IOWA,POLK,"1,396.41","8,643.03"
16770,IOWA,POTTAWATTAMIE,"1,396.41","8,643.03"
16780,IOWA,POWESHIEK,"1,263.49","8,643.03"
16790,IOWA,RINGGOLD,"1,572.12","8,643.03"
16800,IOWA,SAC,"1,502.96","8,643.03"
16810,IOWA,SCOTT,"1,396.41","8,643.03"
16820,IOWA,SHELBY,"1,337.05","8,643.03"
16830,IOWA,SIOUX,"1,368.94","8,643.03"
16840,IOWA,STORY,"1,263.49","8,643.03"
16850,IOWA,TAMA,"1,263.49","8,643.03"
16860,IOWA,TAYLOR,"1,560.04","8,643.03"
16870,IOWA,UNION,"1,430.04","8,643.03"
16880,IOWA,VAN BUREN,"1,453.52","8,643.03"
16890,IOWA,WAPELLO,"1,263.49","8,643.03"
16900,IOWA,WARREN,"1,396.41","8,643.03"
16910,IOWA,WASHINGTON,"1,263.49","8,643.03"
16920,IOWA,WAYNE,"1,263.49","8,643.03"
16930,IOWA,WEBSTER,"1,263.49","8,643.03"
16940,IOWA,WINNEBAGO,"1,263.49","8,643.03"
16950,IOWA,WINNESHIEK,"1,270.12","8,643.03"
