Table 1: Contract Year (CY) 2027 In-Network Mandatory and Lower Maximum Out-of-Pocket (MOOP) Limits,,,,,,,,,,,,,,,
Row Reference,Description,Lower MOOP Limit,Mandatory MOOP Limit,,,,,,,,,,,,
A,"CY 2026 MOOP limit (values from Table 3 in the ""Final Contract Year (CY) 2026 Standards for Part C Benefits, Bid Review and Evaluation"" HPMS memorandum issued April 16, 2025, on page 11)","$4,200.00 ","$9,250.00 ",,,,,,,,,,,,
B,Maximum unrounded CY 2027 MOOP limit per § 422.100(f)(4)(v)(A) (110% of row A),"$4,620.00 ","$10,175.00 ",,,,,,,,,,,,
C,CY 2027 Medicare FFS percentiles (with 100% ESRD cost differential) per § 422.100(f)(4)(v)(A) and (vi)(B) (95th percentile for the mandatory MOOP; 85th percentile for the lower MOOP)*,"$4,461.00 ","$9,863.00 ",,,,,,,,,,,,
D,Unrounded CY 2027 MOOP limit with 10% cap on increases applied per § 422.100(f)(4)(v)(A) (the lesser value comparing row B and row C),"$4,461.00 ","$9,863.00 ",,,,,,,,,,,,
E,Rounded CY 2027 MOOP limit (row D rounded per § 422.100(f)(4)(iii)),"$4,450.00 ","$9,850.00 ",,,,,,,,,,,,
F,"Lowest dollar range of the CY 2027 MOOP limit per § 422.100(f)(4)(i) ($0 for the lower MOOP and one dollar above the intermediate MOOP in Table 2, row D for the mandatory MOOP)",$0.00 ,"$7,151.00 ",, ,,,,,,,,,,
G,"Final CY 2027 in-network lower and mandatory MOOP limit dollar ranges per § 422.100(f)(4)(i) through (iii), (v), and (vi) (range between rows F and E)","$0.00 to $4,450.00","$7,151.00 to $9,850.00",,,,,,,,,,,,
*This amount is based on 2024 Medicare FFS data and the Office of the Actuary's (OACT's) costs and utilization projections between 2024 to 2027. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 2: Contract Year (CY) 2027 In-Network Intermediate Maximum Out-of-Pocket (MOOP) Limit,,,,,,,,,,,,,,,
Row Reference,Description,Intermediate MOOP Limit,,,,,,,,,,,,,
A,"Unrounded CY 2027 mandatory MOOP limit with 10% cap on increases applied (row D, mandatory MOOP limit column in Table 1)","$9,863.00 ",,,,,,,,,,,,,
B,"Unrounded CY 2027 lower MOOP limit with 10% cap on increases applied (row D, lower MOOP limit column in Table 1)","$4,461.00 ",,,,,,,,,,,,,
C,Unrounded CY 2027 intermediate MOOP limit per § 422.100(f)(4)(v)(B) (numeric midpoint between row A and row B),"$7,162.00 ",,,,,,,,,,,,,
D,Rounded CY 2027 intermediate MOOP limit (row C rounded per § 422.100(f)(4)(iii)),"$7,150.00 ",,,,,,,,,,,,,
E,"Lowest dollar range of the CY 2027 intermediate MOOP limit per § 422.100(f)(4)(i)(B) (row E, lower MOOP limit column in Table 1 plus $1.00)","$4,451.00 ",,,,,,,,,,,,,
F,"Final CY 2027 in-network intermediate MOOP limit dollar range per § 422.100(f)(4)(i) through (iii), (v), and (vi) (range between rows E and D)","$4,451.00 to $7,150.00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 3: Contract Year (CY) 2027 Combined and Total Catastrophic Maximum Out-of-Pocket (MOOP) Limits,,,,,,,,,,,,,,,
Row Reference,Description,Lower MOOP Limit,Intermediate MOOP Limit,Mandatory MOOP Limit,,,,,,,,,,,
A,Unrounded CY 2027 in-network MOOP limit of corresponding MOOP type with 10% cap on increases applied (values from row D in Table 1 and row C in Table 2),"$4,461.00 ","$7,162.00 ","$9,863.00 ",,,,,,,,,,,
B,Unrounded CY 2027 combined and total catastrophic MOOP limit per § 422.101(d)(3)(ii) (row A multiplied by 1.5),"$6,691.50 ","$10,743.00 ","$14,794.50 ",,,,,,,,,,,
C,Rounded CY 2027 combined and total catastrophic MOOP limit (row B rounded per § 422.100(f)(4)(iii)),"$6,700.00 ","$10,750.00 ","$14,800.00 ",,,,,,,,,,,
D,"Lowest dollar range of the CY 2026 combined and total catastrophic MOOP limit per § 422.101(d)(3)(ii) (Lower MOOP: $0; Intermediate MOOP: one dollar above the in-network lower MOOP limit in Table 1, row E; Mandatory MOOP: one dollar above the in-network intermediate MOOP limit in Table 2, row D) ",$0.00 ,"$4,451.00 ","$7,151.00 ",,,,,,,,,,,
E,Final CY 2026 combined and total catastrophic MOOP limit dollar ranges for each MOOP type per § 422.101(d)(3)(ii) (range between rows D and C),"$0.00 to $6,700.00","$4,451.00 to $10,750.00","$7,151.00 to $14,800.00",,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 4: In-Network Maximum Out-of-Pocket (MOOP) Limits by Contract Year (CY),,,,,,,,,,,,,,,
Row Reference,Description,Lower MOOP Limit,Intermediate MOOP Limit,Mandatory MOOP Limit,,,,,,,,,,,
A,Final CY 2022 MOOP Limits,"$3,450.00 ",N/A,"$7,550.00 ",,,,,,,,,,,
B,Final CY 2023 MOOP Limits,"$3,650.00 ","$6,000.00 ","$8,300.00 ",,,,,,,,,,,
C,Final CY 2024 MOOP Limits,"$3,850.00 ","$6,350.00 ","$8,850.00 ",,,,,,,,,,,
D,Final CY 2025 MOOP Limits,"$4,150.00 ","$6,750.00 ","$9,350.00 ",,,,,,,,,,,
E,Final CY 2026 MOOP Limits,"$4,200.00 ","$6,750.00 ","$9,250.00 ",,,,,,,,,,,
F,Final CY 2027 MOOP Limits,"$4,450.00 ","$7,150.00 ","$9,850.00 ",,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 5: Percent Change of In-Network Maximum Out-of-Pocket (MOOP) Limits from Prior Contract Year (CY),,,,,,,,,,,,,,,
Row Reference,Description,Lower MOOP Limit,Intermediate MOOP Limit,Mandatory MOOP Limit,,,,,,,,,,,
A,Final CY 2022 to Final CY 2023 MOOP Limits,5.80%,N/A,9.93%,,,,,,,,,,,
B,Final CY 2023 to Final CY 2024 MOOP Limits,5.48%,5.83%,6.63%,,,,,,,,,,,
C,Final CY 2024 to Final CY 2025 MOOP Limits,7.79%,6.30%,5.65%,,,,,,,,,,,
D,Final CY 2025 to Final CY 2026 MOOP Limits,1.20%,0.00%,-1.07%,,,,,,,,,,,
E,Final CY 2026 to Final CY 2027 MOOP Limits,5.95%,5.93%,6.49%,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table 6: Contract Year (CY) 2027 Medicare FFS Percentiles,,,,,,,,,,,,,,,
Row Reference,Description,95th Percentile,85th Percentile,,,,,,,,,,,,
A,Medicare FFS Projection (100% of ESRD costs included),"$9,863.00 ","$4,461.00 ",,,,,,,,,,,,
B,Medicare FFS Projection (Excludes beneficiaries with ESRD),"$9,149.00 ","$4,318.00 ",,,,,,,,,,,,
