Table 1: Contract Year (CY) 2027 Skilled Nursing Facility (SNF) Per Day Cost Sharing Limit for the First 20 Days by Maximum Out-of-Pocket (MOOP) Type,,,
Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP
Final CY 2027 SNF per day cost sharing limit for the first 20 days by MOOP type per § 422.100(j)(1)(i)(C ),$20.00/day,$10.00/day,$0.00/day
,,,
,,,
Table 2: Contract Year (CY) 2027 Skilled Nursing Facility (SNF) Per Day Cost Sharing Limit for Days 21 through 100 (Applicable to all Maximum Out-of-Pocket (MOOP) Types),,,
Row Reference,Description,Cost Sharing Limit Calculation,
A,Projected CY 2027 Part A Deductible*,"$1,768.00 ",
B,Unrounded cost sharing limit per § 422.100(j)(1)(i)(C )(1) (1/8th projected Part A deductible in row A) ,$221.00 ,
C,Final CY 2027 SNF per day cost sharing limit for days 21 through 100 applicable to all MOOP types per § 422.100(j)(1)(i) (row B rounded per § 422.100(f)(6)(ii)),$221.00/day,
*This amount is based on 2025 Medicare FFS data and the Office of the Actuary's (OACT's) cost projections for 2027. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ,,,
